Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Gordon Setter,5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4
Grand Basset Griffon Vendéen,5,3,4,3,2,2,Wiry; Double,Medium,5,4,3,4,3,5,4,4
Great Dane,5,3,3,3,1,4,Smooth,Short,3,4,5,4,3,4,3,4
Great Pyrenee,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3
Greater Swiss Mountain Dog,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4
Greyhound,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3
Harrier,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
Havanese,5,5,5,2,3,1,Double; Silky,Long,5,5,3,5,4,3,4,3
Ibizan Hound,5,3,5,2,1,1,Wiry; Smooth,Short,3,4,3,4,3,5,3,5
Icelandic Sheepdog,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5
Irish Red and White Setter,5,5,5,2,2,2,Double; Silky,Medium,5,3,3,5,5,5,3,3
Irish Setter,5,5,5,3,3,2,Silky,Medium,5,5,3,4,4,5,3,4
Irish Terrier,5,5,1,2,1,1,Wiry; Double,Medium,3,3,5,4,3,3,3,4
Irish Water Spaniel,5,3,3,1,3,2,Curly,Medium,3,5,3,4,5,3,1,4
Irish Wolfhound,5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3
Italian Greyhound,5,3,5,3,1,1,Smooth,Short,5,4,3,4,4,3,3,3
Japanese Chin,5,3,5,3,2,1,Silky,Medium,3,3,3,4,3,3,2,3
Keeshond,5,5,5,3,3,2,Double,Long,5,5,5,5,5,4,4,4
Kerry Blue Terrier,5,4,2,1,3,2,Wavy,Medium,3,3,5,3,3,4,4,4
Komondor,5,3,2,1,4,2,Corded,Long,3,3,5,3,4,3,3,3
Kuvasz,5,3,3,3,2,2,Double,Medium,3,3,5,4,5,3,3,3
Labrador Retriever,5,5,5,4,2,2,Double,Short,5,5,3,5,5,5,3,4
Lagotto Romagnolo,5,3,5,1,2,2,Double; Curly,Medium,4,4,3,4,4,4,2,4
Lakeland Terrier,5,3,3,2,2,1,Wiry; Double,Short,3,4,3,4,3,3,3,4
Lancashire Heeler,5,5,5,3,1,1,Double,Short,4,4,3,4,4,4,4,4
Leonberger,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4
Lhasa Apso,5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3
Lowchen,5,5,3,2,2,1,Wavy,Long,3,4,4,4,4,3,3,3
Maltese,5,3,3,1,4,1,Silky,Long,3,3,4,4,3,3,3,3
Manchester Terrier,5,4,3,2,2,1,Smooth,Short,3,4,4,4,4,4,4,3
Mastiff,5,5,3,3,1,4,Double,Short,3,3,5,4,3,3,1,3
Miniature American Shepherd,5,5,5,3,3,2,Double,Medium,3,4,3,4,5,5,3,5
Miniature Bull Terrier,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4
Miniature Pinscher,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5
Miniature Schnauzer,5,5,3,3,4,2,Wiry; Double,Medium,3,4,4,5,5,3,5,4
Mudi,5,3,3,2,1,2,Curly,Medium,3,5,4,4,5,5,4,3
Neapolitan Mastiff,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3
Nederlandse Kooikerhondje,5,3,3,3,2,2,Double; Wavy,Medium,4,3,3,4,5,4,3,4
Newfoundland,5,5,5,3,2,5,Double,Medium,5,3,5,4,3,3,1,3
Norfolk Terrier,5,5,3,3,2,1,Wiry; Double,Short,5,4,4,4,3,4,4,4
Norwegian Buhund,5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4
Norwegian Elkhound,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4
Norwegian Lundehund,5,3,3,3,2,1,Double,Short,3,3,3,3,3,3,4,3
Norwich Terrier,5,5,3,3,2,1,Wiry; Double,Short,5,4,4,4,3,4,4,4
Nova Scotia Duck Tolling Retriever,5,5,4,3,2,2,Double,Medium,3,5,3,4,5,5,2,4
Old English Sheepdog,5,5,3,3,4,3,Double,Long,3,4,4,4,4,3,3,4
Otterhound,5,3,3,2,2,3,Rough; Double,Medium,4,3,3,4,4,3,5,3
Papillon,5,5,3,3,2,1,Silky,Medium,5,5,4,5,5,4,5,5
Parson Russell Terrier,5,3,5,2,2,1,Smooth; Double,Short,3,4,3,4,4,5,3,4
Pekingese,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3
Pembroke Welsh Corgi,5,3,4,4,2,1,Double,Short,4,4,5,4,4,4,4,4
Petit Basset Griffon Vendéen,4,5,5,2,2,2,Rough; Double,Long,4,4,4,4,3,4,5,4
Pharaoh Hound,5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4
Plott Hound,5,3,5,2,1,2,Smooth,Short,4,3,4,4,4,4,4,3
Pointer,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4
Polish Lowland Sheepdog,5,3,3,2,4,2,Double,Long,3,4,5,5,4,3,4,4
Pomeranian,5,3,3,2,3,1,Double,Long,3,3,4,4,3,3,4,3
Poodle,5,5,3,1,4,1,Curly,Long,5,5,5,4,4,4,4,5
Portuguese Podengo Pequeno,5,5,5,3,2,1,Wiry; Smooth,Short,3,4,3,4,3,4,3,4
Portuguese Water Dog,5,5,4,2,4,2,Curly; Wavy,Long,4,5,4,5,5,5,3,5
Pug,5,5,4,4,2,1,Smooth,Short,5,5,3,5,4,3,1,3
Puli,5,3,3,1,5,2,Corded; Double,Long,3,3,5,4,5,3,3,5
Pumi,5,3,3,1,2,2,Curly; Wavy,Medium,3,4,4,4,5,5,3,5
Pyrenean Shepherd,5,3,3,3,2,2,Smooth; Rough,Medium,3,5,5,4,5,5,4,5
Rat Terrier,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5
Redbone Coonhound,5,5,5,3,2,3,Smooth,Short,3,3,3,4,3,3,4,4
Rhodesian Ridgeback,5,5,3,3,2,2,Smooth,Short,3,3,5,4,4,3,2,4
Rottweiler,5,3,3,3,1,3,Smooth,Short,3,4,5,4,5,3,1,5
Russell Terrier,5,3,5,3,2,1,Wiry; Smooth,Short,5,5,4,4,3,5,4,5
Russian Toy,5,3,3,3,2,1,Double,Short,3,4,4,4,4,3,4,3
Saint Bernard,5,5,3,3,2,5,Smooth; Rough; Double,Short,3,3,5,4,3,3,1,3
Saluki,5,3,3,2,1,1,Smooth,Short,3,3,1,3,3,4,3,5
Samoyed,5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4
Schipperke,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3
Scottish Deerhound,5,3,5,3,1,1,Wiry; Double,Medium,3,3,3,3,3,3,1,3
Scottish Terrier,5,3,2,2,3,2,Wiry; Double,Medium,3,4,5,4,3,3,4,4
Sealyham Terrier,5,3,3,3,3,1,Wiry; Double,Medium,4,3,5,4,4,3,4,4
Shetland Sheepdog,5,5,5,3,3,1,Double,Long,2,5,5,5,5,4,5,4
Shiba Inu,5,3,3,3,2,1,Double,Short,3,3,5,3,2,3,3,4
Shih Tzu,5,5,5,1,4,1,Double,Long,3,3,3,5,4,3,3,3
Siberian Husky,5,5,5,4,2,1,Double,Medium,5,5,1,4,3,5,5,4
Silky Terrier,5,3,3,2,3,1,Silky,Long,4,4,5,4,4,3,4,3
Skye Terrier,5,3,3,3,3,1,Double,Long,3,3,3,3,3,3,3,3
Sloughi,4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3
Smooth Fox Terrier,5,3,3,3,2,1,Smooth,Short,3,4,5,4,3,4,5,3
Soft Coated Wheaten Terrier,5,5,3,1,4,2,Wavy; Silky,Medium,3,3,3,3,3,4,3,3
Spanish Water Dog,5,4,3,1,4,2,Corded; Curly,Medium,3,4,3,3,4,4,3,5
Spinone Italiano,5,3,4,3,2,3,Wiry,Medium,3,3,3,3,4,3,2,3
Staffordshire Bull Terrier,5,5,3,3,2,2,Smooth,Short,4,4,3,5,5,5,3,4
Standard Schnauzer,5,5,3,1,3,3,Wiry; Double,Medium,3,4,5,4,5,3,3,5
Sussex Spaniel,5,3,3,3,3,3,Double,Medium,3,4,3,2,3,3,4,3
Swedish Vallhund,5,5,3,4,2,2,Double,Short,3,4,3,4,4,4,3,4
Tibetan Mastiff,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4
Tibetan Spaniel,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3
Tibetan Terrier,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4
Toy Fox Terrier,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4
Treeing Walker Coonhound,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5
Vizsla,5,5,4,3,2,2,Smooth,Short,4,5,3,5,5,5,3,5
Weimaraner,5,5,3,3,2,2,Smooth,Short,3,5,5,4,5,5,3,5
Welsh Springer Spaniel,5,5,4,3,2,2,Double,Medium,1,3,3,4,5,4,3,4
Welsh Terrier,5,5,3,2,3,2,Wiry; Double,Medium,5,4,4,4,4,4,4,4
West Highland White Terrier,5,5,3,3,3,1,Double,Medium,4,5,5,4,3,4,5,4
Whippet,5,5,5,2,1,1,Smooth,Short,3,4,3,3,3,4,1,4
Wire Fox Terrier,5,5,3,2,3,2,Wiry; Double,Medium,5,4,4,4,4,4,4,4
Wirehaired Pointing Griffon,5,5,3,3,2,3,Wiry; Double,Medium,5,4,3,4,5,5,3,5
Wirehaired Vizsla,5,5,3,3,1,2,Wiry,Short,5,5,3,4,5,5,3,5
Xoloitzcuintli,5,3,3,1,1,1,Hairless; Smooth,Short,3,4,3,4,4,4,3,4
Yorkshire Terrier,5,5,3,1,5,1,Silky,Long,5,4,5,5,4,4,4,4
